cutoff_week,model,attribute,group_A,group_B,n_A,n_B,flag_A,flag_B,dp_gap,dp_lo,dp_hi,tpr_A,tpr_B,eo_gap,eo_lo,eo_hi,fpr_A,fpr_B,fpr_gap,fpr_lo,fpr_hi
15,logreg,age,age_0_35,age_55plus,4612,53,0.49132697311361667,0.37735849056603776,0.11396848254757891,-0.025078036786725332,0.2295827946783616,0.7976006191950464,0.8,-0.0023993808049536103,-0.1591157467029855,0.17537344270319133,0.10108481262327416,0.12121212121212122,-0.02012730858884705,-0.148903004708644,0.07316801905673509
15,rf,imd,deprived,affluent,2066,1647,0.5716360116166506,0.42926533090467517,0.1423706807119754,0.11207291293801222,0.1736909520727939,0.851792828685259,0.814526588845655,0.037266239839603976,0.007131361597407085,0.07045101397252324,0.1381011097410604,0.09018264840182648,0.04791846133923393,0.016193776297089735,0.08100819376844363
15,rf,disability,disabled,not_disabled,655,5864,0.6061068702290077,0.47527285129604363,0.13083401893296404,0.09004935666454914,0.16956841720212862,0.8660049627791563,0.8183613030602171,0.047643659718939135,0.010186719234731984,0.08472918800631794,0.19047619047619047,0.10619469026548672,0.08428150021070374,0.03440961692647914,0.1368835166101742
15,rf,age,age_0_35,age_55plus,4612,53,0.5242844752818734,0.33962264150943394,0.18466183377243944,0.0521256075209871,0.29509943298041197,0.8363003095975232,0.75,0.08630030959752322,-0.10528528877627806,0.28359528255494354,0.1267258382642998,0.09090909090909091,0.0358167473552089,-0.07256589859445138,0.1256236039803487
15,hgb,imd,deprived,affluent,2066,1647,0.5314617618586641,0.3970856102003643,0.1343761516582998,0.1042803189935528,0.16673969686443305,0.8159362549800797,0.7808041504539559,0.03513210452612381,2.048521772757002e-05,0.07192877633194829,0.09124537607891492,0.0593607305936073,0.03188464548530762,0.006786862489518887,0.057869437443281595
15,hgb,disability,disabled,not_disabled,655,5864,0.5618320610687023,0.43877899045020463,0.12305307061849768,0.07920944721577124,0.1619198850796163,0.8337468982630273,0.7834814083580125,0.05026548990501478,0.010326903384787168,0.08804937227144956,0.12698412698412698,0.06796460176991151,0.05901952521421547,0.018288461156377247,0.10444839695943611
15,hgb,age,age_0_35,age_55plus,4612,53,0.4839549002601908,0.33962264150943394,0.14433225875075684,0.01331923284622561,0.2558539863195273,0.7999226006191951,0.75,0.04992260061919507,-0.14308804131776054,0.2486487339329894,0.08136094674556213,0.09090909090909091,-0.009548144163528782,-0.1186790089757382,0.0799015070321426
25,logreg,imd,deprived,affluent,2066,1647,0.5575992255566312,0.424408014571949,0.13319121098468223,0.10240840220507116,0.1657014484371537,0.8733067729083666,0.8521400778210116,0.021166695087354914,-0.008136122725992916,0.053073976121149107,0.0690505548705302,0.04794520547945205,0.02110534939107815,-0.001192055825341155,0.042753408413151006
25,logreg,disability,disabled,not_disabled,655,5864,0.5786259541984733,0.46640518417462484,0.11222077002384845,0.07133833821063706,0.15109890989658725,0.8858560794044665,0.8489634748272458,0.03689260457722077,1.934991493113301e-05,0.06950635872034305,0.0873015873015873,0.05486725663716814,0.032434330664419156,-0.003086364802348045,0.06957641032150656
25,logreg,age,age_0_35,age_55plus,4612,53,0.5060711188204683,0.3584905660377358,0.14758055278273247,0.007688413327005856,0.26209447462730534,0.8564241486068112,0.85,0.006424148606811175,-0.14058114665708124,0.17307015826791777,0.059664694280078895,0.06060606060606061,-0.0009413663259817129,-0.10229705234501753,0.06366362298393913
25,rf,imd,deprived,affluent,2066,1647,0.5658276863504357,0.4219793564055859,0.14384832994484975,0.11239332007328291,0.1782506887173781,0.8932270916334661,0.8651102464332037,0.028116845200262475,-0.0014571500815059228,0.058290242888510285,0.059186189889025895,0.0319634703196347,0.027222719569391193,0.008420210343336367,0.0462267564548389
25,rf,disability,disabled,not_disabled,655,5864,0.5786259541984733,0.4716916780354707,0.1069342761630026,0.06416197161096815,0.14731186798996077,0.913151364764268,0.8687068114511353,0.044444553313132684,0.012464706668107199,0.07468320262289965,0.04365079365079365,0.04460176991150443,-0.0009509762607107786,-0.025981764681805235,0.025351394768806757
25,rf,age,age_0_35,age_55plus,4612,53,0.5114917606244579,0.3584905660377358,0.15300119458672207,0.019364578049059902,0.27063740611039283,0.8734520123839009,0.85,0.023452012383900933,-0.12296108497494092,0.18908889687045632,0.05029585798816568,0.06060606060606061,-0.010310202617894927,-0.10708525953421995,0.05381934613586914
25,hgb,imd,deprived,affluent,2066,1647,0.5701839303000968,0.42501517911353975,0.1451687511865571,0.11475450245128725,0.17792313285148098,0.895617529880478,0.8638132295719845,0.03180430030849357,0.00136771264380223,0.060601047459308215,0.06658446362515413,0.03881278538812785,0.02777167823702628,0.008284484815666788,0.04929761744338223
25,hgb,disability,disabled,not_disabled,655,5864,0.5938931297709924,0.47629604365620737,0.11759708611478503,0.07749394676275476,0.15732748273851055,0.9205955334987593,0.8716683119447186,0.04892722155404072,0.018252144672677703,0.07876085605827068,0.07142857142857142,0.05097345132743363,0.020455120101137793,-0.010764307454457707,0.053843831199486936
25,hgb,age,age_0_35,age_55plus,4612,53,0.5160450997398092,0.3584905660377358,0.15755453370207334,0.025430276227724206,0.2764469022566234,0.8773219814241486,0.85,0.027321981424148656,-0.12094442984394725,0.1938868453319321,0.05571992110453649,0.06060606060606061,-0.0048861395015241185,-0.10128969974248003,0.0592383150522281
